                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     97,                  1.715,                0.99879,                 1.1203,                0.82309,                0.80731,                0.84805,                0.37577,                 1.8233,                0.97293,                 1.1611,               0.010837,               0.007837,               0.007837
                     98,                 1.6637,                0.92695,                 1.1296,                0.85861,                0.82921,                0.88406,                 0.4274,                   1.59,                0.93739,                 1.1214,              0.0098984,              0.0078984,              0.0078984
                     99,                 1.7097,                0.95825,                  1.142,                0.79822,                0.84087,                0.87884,                0.41905,                 1.5532,                 1.0389,                  1.126,              0.0089594,              0.0079594,              0.0079594
                    100,                 1.6487,                0.99013,                 1.1201,                0.75715,                0.80451,                 0.8328,                 0.3921,                 1.6458,                0.96371,                 1.1349,                0.00802,                0.00802,                0.00802
                    101,                 1.5922,                0.94554,                 1.1192,                0.78282,                0.82742,                0.89123,                0.47431,                  1.535,                0.96636,                 1.0946,                0.00802,                0.00802,                0.00802
                    102,                 1.6442,                 0.9221,                 1.1182,                 0.7784,                0.74723,                0.78678,                0.33994,                 1.8135,                 1.0429,                 1.1992,              0.0080002,              0.0080002,              0.0080002
                    103,                 1.6357,                0.96936,                 1.1253,                0.74236,                0.67484,                0.74158,                0.30896,                 1.9254,                 1.1677,                 1.2147,              0.0079804,              0.0079804,              0.0079804
                    104,                 1.6898,                0.96147,                 1.1346,                0.71246,                0.76311,                0.79455,                0.39079,                 1.7307,                 1.0806,                 1.1595,              0.0079606,              0.0079606,              0.0079606
                    105,                 1.6359,                0.91877,                 1.1106,                0.73087,                0.69298,                0.73581,                0.30456,                  1.906,                 1.1647,                  1.186,              0.0079408,              0.0079408,              0.0079408
                    106,                 1.5987,                0.94087,                 1.1251,                0.72522,                0.74315,                0.78261,                0.36311,                 1.7114,                 1.0336,                 1.1309,               0.007921,               0.007921,               0.007921
                    107,                  1.648,                0.88227,                 1.1038,                   0.63,                0.64124,                0.65429,                0.26179,                 2.0045,                 1.2075,                 1.2199,              0.0079012,              0.0079012,              0.0079012
                    108,                 1.6305,                0.91757,                 1.1101,                0.69025,                0.69377,                0.71797,                0.30379,                 1.8781,                 1.1245,                 1.1794,              0.0078814,              0.0078814,              0.0078814
                    109,                 1.6391,                0.92927,                 1.1059,                 0.7769,                0.81312,                0.87265,                0.44596,                 1.5934,                0.92299,                 1.0987,              0.0078616,              0.0078616,              0.0078616
                    110,                 1.5711,                0.89684,                 1.1082,                0.86155,                0.83768,                0.90713,                0.48683,                 1.5305,                0.86831,                 1.0895,              0.0078418,              0.0078418,              0.0078418
                    111,                 1.6518,                0.92105,                 1.1173,                0.75527,                0.84711,                0.86985,                0.45589,                 1.5179,                0.94563,                 1.0834,               0.007822,               0.007822,               0.007822
                    112,                 1.5506,                0.90449,                 1.0837,                0.82846,                0.79819,                0.86748,                0.43144,                  1.602,                 1.1639,                 1.1335,              0.0078022,              0.0078022,              0.0078022
                    113,                 1.5629,                  1.002,                 1.1005,                0.81346,                0.85647,                0.91094,                0.49496,                 1.4859,                0.85668,                 1.0874,              0.0077824,              0.0077824,              0.0077824
                    114,                 1.4888,                0.88987,                 1.0605,                0.81029,                 0.8319,                0.87836,                0.44397,                 1.5887,                 1.0886,                 1.1238,              0.0077626,              0.0077626,              0.0077626
                    115,                 1.5256,                0.88948,                  1.079,                0.78269,                0.83339,                0.87016,                0.43311,                 1.6144,                0.91895,                 1.1196,              0.0077428,              0.0077428,              0.0077428
                    116,                 1.5496,                0.84855,                 1.0876,                0.85835,                0.81824,                0.88228,                0.46561,                 1.5445,                 0.8768,                 1.1096,               0.007723,               0.007723,               0.007723
                    117,                  1.676,                0.88244,                 1.0892,                0.83148,                0.79297,                 0.8199,                0.38459,                 1.7173,                 1.0189,                 1.1739,              0.0077032,              0.0077032,              0.0077032
                    118,                 1.5266,                0.87614,                 1.0816,                0.78419,                0.80148,                0.85227,                 0.4389,                 1.5495,                0.98759,                 1.1166,              0.0076834,              0.0076834,              0.0076834
                    119,                  1.584,                0.86677,                 1.0932,                0.72292,                0.76352,                0.79708,                0.39205,                 1.6598,                0.98882,                  1.148,              0.0076636,              0.0076636,              0.0076636
                    120,                 1.5831,                0.87896,                 1.0939,                 0.7067,                0.78774,                0.83174,                0.43412,                 1.5584,                 1.0576,                 1.1279,              0.0076438,              0.0076438,              0.0076438
                    121,                 1.5175,                0.83832,                 1.0832,                0.75246,                0.77477,                0.79977,                0.37278,                 1.7252,                 1.0529,                 1.1711,               0.007624,               0.007624,               0.007624
                    122,                 1.5453,                0.85762,                 1.0977,                0.77468,                0.70386,                0.78476,                0.38216,                 1.6217,                 1.0681,                  1.139,              0.0076042,              0.0076042,              0.0076042
                    123,                 1.4595,                0.80863,                  1.082,                0.84572,                0.82309,                0.88301,                0.42984,                 1.7086,                 1.0077,                 1.1522,              0.0075844,              0.0075844,              0.0075844
                    124,                 1.4701,                0.85133,                  1.071,                0.79411,                0.83272,                 0.8593,                0.42347,                 1.6243,                0.91276,                 1.1287,              0.0075646,              0.0075646,              0.0075646
                    125,                 1.5101,                0.84277,                 1.0711,                0.79787,                0.81705,                0.86381,                0.45255,                 1.5763,                0.95977,                 1.1285,              0.0075448,              0.0075448,              0.0075448
                    126,                 1.4928,                0.81645,                  1.072,                0.76649,                0.85546,                 0.8785,                0.45734,                 1.5596,                0.88561,                 1.1266,               0.007525,               0.007525,               0.007525
                    127,                 1.5565,                0.82453,                 1.0942,                0.70603,                 0.7386,                0.76788,                0.34902,                 1.7981,                 1.0181,                 1.1933,              0.0075052,              0.0075052,              0.0075052
                    128,                 1.5102,                0.83897,                 1.0963,                0.82038,                0.85176,                0.88411,                0.44405,                  1.665,                0.97355,                 1.1385,              0.0074854,              0.0074854,              0.0074854
                    129,                 1.5414,                0.81465,                  1.087,                0.78734,                0.74134,                0.80038,                0.40783,                 1.6486,                 1.0357,                 1.1309,              0.0074656,              0.0074656,              0.0074656
                    130,                 1.4212,                0.80696,                 1.0554,                 0.8358,                0.83917,                0.88799,                0.48756,                 1.5002,                0.93611,                   1.09,              0.0074458,              0.0074458,              0.0074458
                    131,                 1.4893,                0.79888,                 1.0589,                0.78141,                 0.8061,                0.84236,                0.42412,                 1.6973,                 1.0166,                 1.1395,               0.007426,               0.007426,               0.007426
                    132,                 1.4587,                0.83663,                 1.0649,                 0.8546,                 0.8695,                0.90948,                0.51432,                 1.4693,                0.84028,                 1.0827,              0.0074062,              0.0074062,              0.0074062
                    133,                 1.4148,                0.77727,                 1.0621,                 0.8342,                0.85878,                 0.9059,                0.47758,                  1.599,                0.95094,                 1.1125,              0.0073864,              0.0073864,              0.0073864
                    134,                 1.4746,                0.83738,                 1.0679,                0.86414,                0.87016,                 0.9171,                0.48714,                 1.5742,                 0.8714,                 1.1136,              0.0073666,              0.0073666,              0.0073666
                    135,                 1.6385,                0.83299,                 1.1025,                0.80818,                 0.8616,                0.89091,                0.45606,                 1.6031,                0.92458,                 1.1162,              0.0073468,              0.0073468,              0.0073468
                    136,                 1.4505,                0.79566,                 1.0563,                0.80413,                0.81667,                0.87374,                 0.4466,                 1.6573,                 1.0124,                  1.151,               0.007327,               0.007327,               0.007327
                    137,                 1.4939,                0.85003,                 1.0825,                0.73337,                0.84884,                0.87617,                0.44309,                 1.6537,                 1.0086,                  1.146,              0.0073072,              0.0073072,              0.0073072
                    138,                 1.4933,                0.80711,                 1.0622,                0.76586,                0.82759,                0.86135,                 0.4592,                  1.609,                0.99764,                 1.1357,              0.0072874,              0.0072874,              0.0072874
                    139,                 1.4709,                0.80737,                 1.0606,                 0.8045,                0.85614,                0.87103,                0.43342,                 1.6706,                0.93812,                 1.1385,              0.0072676,              0.0072676,              0.0072676
