                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    117,                 2.3591,                 1.3294,                 1.1563,                0.40958,                0.49239,                0.39241,                0.15476,                  2.371,                 1.3747,                 1.2798,              0.0077032,              0.0077032,              0.0077032
                    118,                 2.2977,                  1.252,                 1.1609,                0.33933,                0.29635,                0.30816,                0.10135,                 2.6025,                 1.5061,                 1.3308,              0.0076834,              0.0076834,              0.0076834
                    119,                 2.4782,                 1.4045,                 1.1411,                 0.2593,                0.33587,                0.23118,                0.07231,                 2.8158,                 1.6296,                 1.3295,              0.0076636,              0.0076636,              0.0076636
                    120,                 2.0997,                 1.2911,                 1.1268,                0.37484,                0.40797,                0.35533,                0.14491,                   2.41,                 1.5033,                 1.3228,              0.0076438,              0.0076438,              0.0076438
                    121,                 1.9391,                 1.0963,                 1.1161,                0.33098,                0.33822,                0.29408,                0.10636,                 2.6243,                 1.6551,                 1.3561,               0.007624,               0.007624,               0.007624
                    122,                 1.8953,                 1.0955,                 1.1485,                0.43763,                0.51313,                0.46329,                0.19026,                 2.3021,                 1.3728,                 1.2955,              0.0076042,              0.0076042,              0.0076042
                    123,                 1.8533,                 1.0009,                  1.125,                0.34623,                0.36775,                0.33232,                0.11796,                 2.5097,                 1.5801,                 1.3197,              0.0075844,              0.0075844,              0.0075844
                    124,                  2.147,                 1.2153,                 1.0966,                0.28356,                0.38107,                0.26446,                0.08628,                 2.6689,                 1.5167,                 1.2923,              0.0075646,              0.0075646,              0.0075646
                    125,                 2.1741,                 1.2466,                 1.1066,                0.36386,                0.38016,                0.34111,                0.12998,                 2.4963,                 1.6117,                 1.3552,              0.0075448,              0.0075448,              0.0075448
                    126,                 2.0991,                 1.2583,                  1.162,                 0.3354,                0.35679,                0.31382,                0.10612,                 2.5357,                 1.7614,                 1.2824,               0.007525,               0.007525,               0.007525
                    127,                 2.0169,                 1.0989,                 1.1072,                0.47018,                0.45308,                0.46511,                  0.179,                 2.3197,                  1.993,                 1.2874,              0.0075052,              0.0075052,              0.0075052
                    128,                 2.2216,                 1.3701,                 1.1682,                0.48341,                0.50806,                0.47687,                 0.1994,                 2.1741,                 1.4495,                 1.2467,              0.0074854,              0.0074854,              0.0074854
                    129,                 1.8646,                 1.0508,                 1.1322,                0.46333,                0.45734,                0.47547,                0.16932,                 2.3567,                 2.0737,                 1.2766,              0.0074656,              0.0074656,              0.0074656
                    130,                 2.2477,                 1.3422,                  1.117,                0.49494,                0.55439,                0.53849,                 0.2316,                 2.1027,                 1.3679,                 1.2235,              0.0074458,              0.0074458,              0.0074458
                    131,                 1.9269,                 1.1283,                 1.1127,                0.47958,                0.46567,                0.50145,                0.17809,                 2.3655,                 1.7947,                 1.2916,               0.007426,               0.007426,               0.007426
                    132,                 2.4254,                 1.1596,                 1.1023,                0.42476,                0.50199,                0.46341,                 0.1771,                 2.2043,                 1.8228,                 1.2223,              0.0074062,              0.0074062,              0.0074062
                    133,                 2.2097,                 1.4354,                 1.1586,                0.47062,                0.58451,                0.52263,                0.20688,                 2.1735,                 1.3109,                 1.2403,              0.0073864,              0.0073864,              0.0073864
