                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                 1.9204,                 1.0361,                 1.1068,                0.61273,                0.53651,                0.61226,                0.27498,                 2.0251,                 1.1756,                 1.1544,               0.028352,              0.0053521,              0.0053521
                     78,                 2.0623,                0.99889,                 1.0849,                0.37928,                0.42636,                0.37287,                0.11012,                 2.6158,                 1.5873,                 1.1564,               0.027391,              0.0053907,              0.0053907
                     79,                 2.2892,                 1.2093,                 1.0595,                 0.5241,                0.58641,                0.60158,                0.27279,                 2.0333,                 1.2282,                 1.1162,               0.026429,              0.0054286,              0.0054286
                     80,                 1.9476,                 1.0597,                 1.0748,                0.59686,                 0.5442,                 0.6233,                0.24894,                 2.1137,                 1.2581,                 1.1129,               0.025466,              0.0054656,              0.0054656
                     81,                 1.9803,                 1.0689,                  1.061,                0.62662,                0.60032,                 0.6671,                0.28136,                  1.962,                 1.1335,                 1.1059,               0.024502,              0.0055018,              0.0055018
                     82,                 1.8868,                 1.0098,                 1.0339,                0.53674,                0.45325,                0.52211,                0.18645,                 2.3464,                 1.2782,                  1.205,               0.023537,              0.0055373,              0.0055373
                     83,                 1.9386,                 1.0319,                 1.0678,                0.48958,                0.50589,                0.53295,                0.20276,                 2.2567,                 1.3178,                 1.2326,               0.022572,               0.005572,               0.005572
                     84,                 1.8602,                0.92718,                 1.0746,                0.42217,                 0.4535,                0.47262,                0.18496,                 2.3142,                 1.4273,                 1.3028,               0.021606,              0.0056058,              0.0056058
                     85,                 1.9713,                 1.0319,                 1.0756,                0.71617,                0.25832,                0.38825,                0.17221,                  2.295,                 1.8265,                   1.43,               0.020639,              0.0056389,              0.0056389
                     86,                 2.0644,                 1.2942,                 1.0535,                 0.6287,                0.22754,                0.34666,                0.13849,                 2.4831,                 1.6692,                 1.4363,               0.019671,              0.0056712,              0.0056712
                     87,                 2.1423,                 1.1481,                 1.0812,                0.53865,                 0.2076,                 0.3299,                0.16293,                  2.428,                 1.7601,                 1.4754,               0.018703,              0.0057027,              0.0057027
                     88,                 1.9028,                 1.0436,                 1.0494,                 0.5398,                0.24629,                0.31247,                0.13372,                  2.397,                 1.6623,                 1.4246,               0.017733,              0.0057334,              0.0057334
                     89,                 2.0154,                 1.0848,                 1.0879,                0.49288,                0.42409,                0.45078,                 0.1809,                  2.235,                 1.5285,                  1.337,               0.016763,              0.0057633,              0.0057633
                     90,                 1.9335,                 1.0063,                 1.0851,                0.40987,                 0.3644,                0.38619,                0.13516,                 2.5131,                 1.6152,                 1.3901,               0.015792,              0.0057924,              0.0057924
                     91,                 1.9981,                0.99394,                 1.0673,                0.50431,                0.46042,                0.49428,                0.21417,                 2.1526,                 1.3353,                 1.2859,               0.014821,              0.0058207,              0.0058207
                     92,                 2.0822,                 1.0647,                 1.0682,                0.38244,                0.15463,                0.21796,                0.05673,                 2.8279,                  2.068,                 1.5549,               0.013848,              0.0058483,              0.0058483
                     93,                 2.2014,                 1.1124,                 1.0753,                0.44718,                0.16442,                0.28417,                0.11763,                 2.5221,                 2.0324,                 1.5386,               0.012875,               0.005875,               0.005875
                     94,                 2.0807,                 1.1031,                 1.0672,                0.71107,                 0.3147,                 0.4656,                0.19259,                 2.1149,                 1.4785,                 1.2668,               0.011901,              0.0059009,              0.0059009
                     95,                 1.8052,                0.96572,                 1.0605,                0.61533,                0.22754,                 0.4006,                0.17461,                 2.3571,                  1.881,                 1.4477,               0.010926,              0.0059261,              0.0059261
                     96,                 1.6612,                0.86663,                 1.0441,                0.64905,                0.21984,                0.32841,                0.11323,                 2.7699,                  1.784,                 1.4294,              0.0099505,              0.0059505,              0.0059505
                     97,                 2.1549,                0.97767,                  1.056,                0.62978,                0.23867,                0.35286,                0.14485,                 2.4672,                 1.6891,                 1.3893,               0.008974,               0.005974,               0.005974
                     98,                 2.7003,                 1.1429,                 1.1099,                0.40979,                0.41821,                0.39678,                0.12944,                 2.5059,                 1.4621,                 1.2276,              0.0079968,              0.0059968,              0.0059968
                     99,                 2.4518,                  1.243,                 1.1251,                0.50617,                0.45245,                0.47856,                 0.1879,                 2.2269,                 1.3496,                 1.1996,              0.0070188,              0.0060188,              0.0060188
                    100,                 2.1259,                 1.1447,                 1.0794,                0.35466,                0.16168,                 0.2115,                 0.1068,                 2.6916,                 2.2744,                 1.7813,                0.00604,                0.00604,                0.00604
                    101,                 2.2251,                 1.1309,                 1.1031,                0.47227,                0.45168,                0.43881,                0.16364,                 2.3777,                  1.416,                 1.2987,                0.00604,                0.00604,                0.00604
                    102,                 1.9213,                 1.0123,                 1.0597,                0.35874,                0.27554,                 0.2765,                0.08949,                 2.5979,                 2.0508,                 1.6398,              0.0060004,              0.0060004,              0.0060004
                    103,                 1.7423,                 0.9436,                  1.066,                0.44514,                0.43469,                0.44726,                0.17422,                 2.4231,                 1.5978,                 1.4981,              0.0059608,              0.0059608,              0.0059608
                    104,                 1.6247,                0.94167,                 1.0546,                0.57632,                0.59059,                0.61018,                0.22649,                 2.2818,                 1.2802,                 1.2325,              0.0059212,              0.0059212,              0.0059212
                    105,                 1.7955,                 0.9338,                 1.0245,                0.57726,                0.51703,                  0.556,                0.22432,                 2.2127,                 1.2407,                 1.2171,              0.0058816,              0.0058816,              0.0058816
                    106,                 1.9565,                 1.0492,                 1.0359,                0.47621,                0.50217,                0.46458,                0.17491,                 2.3997,                 1.3033,                 1.2304,               0.005842,               0.005842,               0.005842
                    107,                 2.1706,                 1.0888,                  1.099,                0.50986,                0.56458,                0.54265,                0.22059,                 2.2845,                 1.2628,                 1.2287,              0.0058024,              0.0058024,              0.0058024
                    108,                 1.8376,                 1.0049,                 1.0339,                0.55887,                0.44864,                0.49863,                0.16768,                 2.5185,                 1.3033,                 1.2434,              0.0057628,              0.0057628,              0.0057628
                    109,                 2.1552,                 1.0731,                 1.0455,                  0.492,                0.61938,                0.57749,                0.25253,                 2.1056,                  1.176,                 1.1737,              0.0057232,              0.0057232,              0.0057232
                    110,                 1.7861,                0.95485,                 1.0129,                0.50331,                0.66078,                0.60746,                0.23315,                  2.286,                 1.1913,                 1.2003,              0.0056836,              0.0056836,              0.0056836
                    111,                 2.1906,                 1.0414,                 1.0511,                  0.557,                0.42466,                0.48263,                0.17695,                 2.3599,                 1.2265,                 1.2079,               0.005644,               0.005644,               0.005644
